PDMS_fraction,CdO_fraction,B4C_fraction,Gd2O3_fraction,Composition_Formula,Theoretical_Density,Density_Calculation
100,0,0,0,100C2H6OSi+0CdO+0B4C+0Gd2O3,0.965,(100 * 0.965) + (0 * 8.15) + (0 * 2.52) + (0 * 7.41) / 100
99,0,0,1,99C2H6OSi+0CdO+0B4C+1Gd2O3,1.02945,(99 * 0.965) + (0 * 8.15) + (0 * 2.52) + (1 * 7.41) / 100
98,0,0,2,98C2H6OSi+0CdO+0B4C+2Gd2O3,1.0939,(98 * 0.965) + (0 * 8.15) + (0 * 2.52) + (2 * 7.41) / 100
97,0,0,3,97C2H6OSi+0CdO+0B4C+3Gd2O3,1.15835,(97 * 0.965) + (0 * 8.15) + (0 * 2.52) + (3 * 7.41) / 100
96,0,0,4,96C2H6OSi+0CdO+0B4C+4Gd2O3,1.2228,(96 * 0.965) + (0 * 8.15) + (0 * 2.52) + (4 * 7.41) / 100
95,0,0,5,95C2H6OSi+0CdO+0B4C+5Gd2O3,1.28725,(95 * 0.965) + (0 * 8.15) + (0 * 2.52) + (5 * 7.41) / 100
94,0,0,6,94C2H6OSi+0CdO+0B4C+6Gd2O3,1.3517,(94 * 0.965) + (0 * 8.15) + (0 * 2.52) + (6 * 7.41) / 100
93,0,0,7,93C2H6OSi+0CdO+0B4C+7Gd2O3,1.41615,(93 * 0.965) + (0 * 8.15) + (0 * 2.52) + (7 * 7.41) / 100
92,0,0,8,92C2H6OSi+0CdO+0B4C+8Gd2O3,1.4806,(92 * 0.965) + (0 * 8.15) + (0 * 2.52) + (8 * 7.41) / 100
91,0,0,9,91C2H6OSi+0CdO+0B4C+9Gd2O3,1.54505,(91 * 0.965) + (0 * 8.15) + (0 * 2.52) + (9 * 7.41) / 100
90,0,0,10,90C2H6OSi+0CdO+0B4C+10Gd2O3,1.6095,(90 * 0.965) + (0 * 8.15) + (0 * 2.52) + (10 * 7.41) / 100
89,0,0,11,89C2H6OSi+0CdO+0B4C+11Gd2O3,1.67395,(89 * 0.965) + (0 * 8.15) + (0 * 2.52) + (11 * 7.41) / 100
88,0,0,12,88C2H6OSi+0CdO+0B4C+12Gd2O3,1.7384,(88 * 0.965) + (0 * 8.15) + (0 * 2.52) + (12 * 7.41) / 100
87,0,0,13,87C2H6OSi+0CdO+0B4C+13Gd2O3,1.80285,(87 * 0.965) + (0 * 8.15) + (0 * 2.52) + (13 * 7.41) / 100
86,0,0,14,86C2H6OSi+0CdO+0B4C+14Gd2O3,1.8673,(86 * 0.965) + (0 * 8.15) + (0 * 2.52) + (14 * 7.41) / 100
85,0,0,15,85C2H6OSi+0CdO+0B4C+15Gd2O3,1.93175,(85 * 0.965) + (0 * 8.15) + (0 * 2.52) + (15 * 7.41) / 100
84,0,0,16,84C2H6OSi+0CdO+0B4C+16Gd2O3,1.9962,(84 * 0.965) + (0 * 8.15) + (0 * 2.52) + (16 * 7.41) / 100
83,0,0,17,83C2H6OSi+0CdO+0B4C+17Gd2O3,2.06065,(83 * 0.965) + (0 * 8.15) + (0 * 2.52) + (17 * 7.41) / 100
82,0,0,18,82C2H6OSi+0CdO+0B4C+18Gd2O3,2.1251,(82 * 0.965) + (0 * 8.15) + (0 * 2.52) + (18 * 7.41) / 100
81,0,0,19,81C2H6OSi+0CdO+0B4C+19Gd2O3,2.18955,(81 * 0.965) + (0 * 8.15) + (0 * 2.52) + (19 * 7.41) / 100
80,0,0,20,80C2H6OSi+0CdO+0B4C+20Gd2O3,2.254,(80 * 0.965) + (0 * 8.15) + (0 * 2.52) + (20 * 7.41) / 100
99,0,1,0,99C2H6OSi+0CdO+1B4C+0Gd2O3,0.98055,(99 * 0.965) + (0 * 8.15) + (1 * 2.52) + (0 * 7.41) / 100
98,0,1,1,98C2H6OSi+0CdO+1B4C+1Gd2O3,1.045,(98 * 0.965) + (0 * 8.15) + (1 * 2.52) + (1 * 7.41) / 100
97,0,1,2,97C2H6OSi+0CdO+1B4C+2Gd2O3,1.10945,(97 * 0.965) + (0 * 8.15) + (1 * 2.52) + (2 * 7.41) / 100
96,0,1,3,96C2H6OSi+0CdO+1B4C+3Gd2O3,1.1739,(96 * 0.965) + (0 * 8.15) + (1 * 2.52) + (3 * 7.41) / 100
95,0,1,4,95C2H6OSi+0CdO+1B4C+4Gd2O3,1.23835,(95 * 0.965) + (0 * 8.15) + (1 * 2.52) + (4 * 7.41) / 100
94,0,1,5,94C2H6OSi+0CdO+1B4C+5Gd2O3,1.3028,(94 * 0.965) + (0 * 8.15) + (1 * 2.52) + (5 * 7.41) / 100
93,0,1,6,93C2H6OSi+0CdO+1B4C+6Gd2O3,1.36725,(93 * 0.965) + (0 * 8.15) + (1 * 2.52) + (6 * 7.41) / 100
92,0,1,7,92C2H6OSi+0CdO+1B4C+7Gd2O3,1.4317,(92 * 0.965) + (0 * 8.15) + (1 * 2.52) + (7 * 7.41) / 100
91,0,1,8,91C2H6OSi+0CdO+1B4C+8Gd2O3,1.49615,(91 * 0.965) + (0 * 8.15) + (1 * 2.52) + (8 * 7.41) / 100
90,0,1,9,90C2H6OSi+0CdO+1B4C+9Gd2O3,1.5606,(90 * 0.965) + (0 * 8.15) + (1 * 2.52) + (9 * 7.41) / 100
89,0,1,10,89C2H6OSi+0CdO+1B4C+10Gd2O3,1.62505,(89 * 0.965) + (0 * 8.15) + (1 * 2.52) + (10 * 7.41) / 100
88,0,1,11,88C2H6OSi+0CdO+1B4C+11Gd2O3,1.6895,(88 * 0.965) + (0 * 8.15) + (1 * 2.52) + (11 * 7.41) / 100
87,0,1,12,87C2H6OSi+0CdO+1B4C+12Gd2O3,1.75395,(87 * 0.965) + (0 * 8.15) + (1 * 2.52) + (12 * 7.41) / 100
86,0,1,13,86C2H6OSi+0CdO+1B4C+13Gd2O3,1.8184,(86 * 0.965) + (0 * 8.15) + (1 * 2.52) + (13 * 7.41) / 100
85,0,1,14,85C2H6OSi+0CdO+1B4C+14Gd2O3,1.88285,(85 * 0.965) + (0 * 8.15) + (1 * 2.52) + (14 * 7.41) / 100
84,0,1,15,84C2H6OSi+0CdO+1B4C+15Gd2O3,1.9473,(84 * 0.965) + (0 * 8.15) + (1 * 2.52) + (15 * 7.41) / 100
83,0,1,16,83C2H6OSi+0CdO+1B4C+16Gd2O3,2.01175,(83 * 0.965) + (0 * 8.15) + (1 * 2.52) + (16 * 7.41) / 100
82,0,1,17,82C2H6OSi+0CdO+1B4C+17Gd2O3,2.0762,(82 * 0.965) + (0 * 8.15) + (1 * 2.52) + (17 * 7.41) / 100
81,0,1,18,81C2H6OSi+0CdO+1B4C+18Gd2O3,2.14065,(81 * 0.965) + (0 * 8.15) + (1 * 2.52) + (18 * 7.41) / 100
